Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
26,79920 (24.3000585),0111619110,"01116 - Shri Shivaji Education Society's College of Engineering and Technology,",Civil Engineering,JEE,AI to AI,AI
"",,,Akola,,,,
27,53758 (51.7277506),0111624210,"01116 - Shri Shivaji Education Society's College of Engineering and Technology,",Computer Science and,JEE,AI to AI,AI
"",,,Akola,Engineering,,,
28,60712 (45.5083235),0111624610,"01116 - Shri Shivaji Education Society's College of Engineering and Technology,",Information Technology,JEE,AI to AI,AI
"",,,Akola,,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
29,89882 (4.5569597),0111650710,"01116 - Shri Shivaji Education Society's College of Engineering and Technology,",Chemical Engineering,JEE,AI to AI,AI
"",,,Akola,,,,
30,86121 (14.1188147),0111661210,"01116 - Shri Shivaji Education Society's College of Engineering and Technology,",Mechanical Engineering,JEE,AI to AI,AI
"",,,Akola,,,,
31,170905 (28.7003692),0111719110,01117 - Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of,Civil Engineering,MHT-CET,AI to AI,AI
"",,,"Engineering, Pusad",,,,
32,64178 (42.4493618),0111724210,01117 - Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of,Computer Science and,JEE,AI to AI,AI
"",,,"Engineering, Pusad",Engineering,,,
33,171239 (28.0884374),0111735610,01117 - Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of,Electrical Engg[Electronics,MHT-CET,AI to AI,AI
"",,,"Engineering, Pusad",and Power],,,
34,175693 (22.5020163),0111761210,01117 - Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of,Mechanical Engineering,MHT-CET,AI to AI,AI
"",,,"Engineering, Pusad",,,,
35,67347 (39.4204787),0111799510,01117 - Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of,Artificial Intelligence and,JEE,AI to AI,AI
"",,,"Engineering, Pusad",Data Science,,,
36,52299 (53.0111146),0111924210,"01119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha",Computer Science and,JEE,AI to AI,AI
"",,,"Engineering College, Chikhali",Engineering,,,
37,57675 (48.2828053),0111924610,"01119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha",Information Technology,JEE,AI to AI,AI
"",,,"Engineering College, Chikhali",,,,
38,57236 (48.6301306),0111937210,"01119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha",Electronics and,JEE,AI to AI,AI
"",,,"Engineering College, Chikhali",Telecommunication Engg,,,
39,185757 (7.8241614),0111961210,"01119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha",Mechanical Engineering,MHT-CET,AI to AI,AI
"",,,"Engineering College, Chikhali",,,,
40,60862 (45.4194405),0112019110,"01120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Civil Engineering,JEE,AI to AI,AI
41,24333 (76.5782276),0112024210,"01120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
42,57665 (48.2828053),0112029310,"01120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Electrical Engineering,JEE,AI to AI,AI
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
43,53063 (52.2708244),0112061210,"01120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Mechanical Engineering,JEE,AI to AI,AI
44,81483 (22.2291132),0112089310,"01120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Textile Engineering /,JEE,AI to AI,AI
"",,,,Technology,,,
45,41906 (61.8146129),0112124210,01121 - Shri Hanuman Vyayam  Prasarak Mandals College of Engineering &,Computer Science and,JEE,AI to AI,AI
"",,,"Technology, Amravati",Engineering,,,
46,47370 (57.3147779),0112124610,01121 - Shri Hanuman Vyayam  Prasarak Mandals College of Engineering &,Information Technology,JEE,AI to AI,AI
"",,,"Technology, Amravati",,,,
47,53861 (51.6653141),0112137210,01121 - Shri Hanuman Vyayam  Prasarak Mandals College of Engineering &,Electronics and,JEE,AI to AI,AI
"",,,"Technology, Amravati",Telecommunication Engg,,,
48,63129 (43.2350082),0112161210,01121 - Shri Hanuman Vyayam  Prasarak Mandals College of Engineering &,Mechanical Engineering,JEE,AI to AI,AI
"",,,"Technology, Amravati",,,,
49,75754 (30.2248659),0112319110,"01123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Civil Engineering,JEE,AI to AI,AI
50,48613 (56.1275609),0112324210,"01123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
51,57548 (48.2928590),0112337210,"01123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
52,73459 (32.7650665),0112361210,"01123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Mechanical Engineering,JEE,AI to AI,AI
53,82108 (21.1609042),0112519110,"01125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu",Civil Engineering,JEE,AI to AI,AI
"",,,"College of Engineering, Buldhana",,,,
54,81251 (22.6296139),0112524210,"01125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu",Computer Science and,JEE,AI to AI,AI
"",,,"College of Engineering, Buldhana",Engineering,,,
55,90757 (1.0788802),0112526310,"01125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu",Artificial Intelligence (AI),JEE,AI to AI,AI
"",,,"College of Engineering, Buldhana",and Data Science,,,
56,84046 (17.9633123),0112529310,"01125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu",Electrical Engineering,JEE,AI to AI,AI
"",,,"College of Engineering, Buldhana",,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
57,180891 (15.5975889),0112619110,"01126 - Takshashila Institute of Engineering & Technology, Darapur, Amravati",Civil Engineering,MHT-CET,AI to AI,AI
58,67567 (39.1527671),0112624210,"01126 - Takshashila Institute of Engineering & Technology, Darapur, Amravati",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
59,176130 (22.1725851),0112629310,"01126 - Takshashila Institute of Engineering & Technology, Darapur, Amravati",Electrical Engineering,MHT-CET,AI to AI,AI
60,77567 (27.8601519),0112637210,"01126 - Takshashila Institute of Engineering & Technology, Darapur, Amravati",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
61,177909 (19.5522021),0112661210,"01126 - Takshashila Institute of Engineering & Technology, Darapur, Amravati",Mechanical Engineering,MHT-CET,AI to AI,AI
62,81767 (21.6700467),0112719110,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Civil Engineering,JEE,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",,,,
63,57257 (48.6301306),0112724510,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Computer Engineering,JEE,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",,,,
64,79895 (24.3000585),0112729310,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Electrical Engineering,JEE,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",,,,
65,67503 (39.3011281),0112737210,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Electronics and,JEE,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",Telecommunication Engg,,,
66,178087 (19.3655345),0112761210,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Mechanical Engineering,MHT-CET,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",,,,
67,62073 (44.2947607),0112819110,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Civil Engineering,JEE,AI to AI,AI
68,35687 (66.8402460),0112824210,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
69,39468 (63.6133463),0112824610,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Information Technology,JEE,AI to AI,AI
70,46160 (58.2354795),0112829310,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Electrical Engineering,JEE,AI to AI,AI
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
71,45144 (59.1819949),0112837210,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
72,39671 (63.5686685),0112891210,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering(Data Science),,,
73,188407 (2.7203264),0113019110,01130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad,Civil Engineering,MHT-CET,AI to AI,AI
"",,,"Institute of Technology & Management Studies, Yelgaon",,,,
74,84265 (17.6637229),0113024210,01130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad,Computer Science and,JEE,AI to AI,AI
"",,,"Institute of Technology & Management Studies, Yelgaon",Engineering,,,
75,187522 (4.5424794),0113037210,01130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad,Electronics and,MHT-CET,AI to AI,AI
"",,,"Institute of Technology & Management Studies, Yelgaon",Telecommunication Engg,,,
76,51490 (53.5662784),0113061210,01130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad,Mechanical Engineering,JEE,AI to AI,AI
"",,,"Institute of Technology & Management Studies, Yelgaon",,,,
77,69775 (36.6180714),0118024210,"01180 - Sanmati Engineering College, Sawargaon Barde, Washim",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
78,188149 (3.1600940),0118026310,"01180 - Sanmati Engineering College, Sawargaon Barde, Washim",Artificial Intelligence (AI),MHT-CET,AI to AI,AI
"",,,,and Data Science,,,
79,187779 (3.8958940),0118219110,"01182 - Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Civil Engineering,MHT-CET,AI to AI,AI
80,89782 (4.9149980),0118261210,"01182 - Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Mechanical Engineering,JEE,AI to AI,AI
81,65629 (40.9346038),0126519110,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Civil Engineering,JEE,AI to AI,AI
"",,,Shegaon.,,,,
82,32455 (69.5628064),0126524210,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Computer Science and,JEE,AI to AI,AI
"",,,Shegaon.,Engineering,,,
83,37913 (64.9789150),0126524610,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Information Technology,JEE,AI to AI,AI
"",,,Shegaon.,,,,
84,54875 (50.8208297),0126535610,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Electrical Engg[Electronics,JEE,AI to AI,AI
"",,,Shegaon.,and Power],,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
85,44895 (59.3047779),0126537210,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Electronics and,JEE,AI to AI,AI
"",,,Shegaon.,Telecommunication Engg,,,
86,61496 (44.8443341),0126561210,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Mechanical Engineering,JEE,AI to AI,AI
"",,,Shegaon.,,,,
87,86159 (14.0892338),0126819110,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Civil Engineering,JEE,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",,,,
88,58118 (48.0088741),0126824210,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Computer Science and,JEE,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",Engineering,,,
89,79863 (24.3000585),0126835610,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Electrical Engg[Electronics,JEE,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",and Power],,,
90,82217 (21.0869674),0126837210,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Electronics and,JEE,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",Telecommunication Engg,,,
91,75335 (30.6086486),0126899510,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Artificial Intelligence and,JEE,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",Data Science,,,
92,73646 (32.5587952),0127624510,"01276 - Manav School of Engineering & Technology, Gut No. 1035 Nagpur",Computer Engineering,JEE,AI to AI,AI
"",,,"Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",,,,
93,17351 (82.8730830),0203290410,"02032 - Institute of Chemical Technology, Mumbai Marathwada off campus,",Chemical Engineering,JEE,AI to AI,AI
"",,,Jalna,,,,
94,71914 (34.5898521),0211124210,"02111 - Everest Education Society, Group of Institutions (Integrated Campus),",Computer Science and,JEE,AI to AI,AI
"",,,Ohar,Engineering,,,
95,182644 (13.0626183),0211192110,"02111 - Everest Education Society, Group of Institutions (Integrated Campus),",Artificial Intelligence and,MHT-CET,AI to AI,AI
"",,,Ohar,Machine Learning,,,
96,177737 (20.1344161),0211219110,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Civil Engineering,MHT-CET,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
97,61886 (44.4375985),0211224210,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Computer Science and,JEE,AI to AI,AI
"",,,"Technology, Aurangabad",Engineering,,,
98,80169 (24.2014082),0211229310,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Electrical Engineering,JEE,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
99,182434 (13.2387508),0211261210,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Mechanical Engineering,MHT-CET,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
100,78914 (25.6893382),0211284410,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Electronics and Computer,JEE,AI to AI,AI
"",,,"Technology, Aurangabad",Engineering,,,
101,64591 (42.0665339),0211291110,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Computer Science and,JEE,AI to AI,AI
"",,,"Technology, Aurangabad",Engineering(Artificial,,,
102,69191 (37.5946229),0211291210,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Computer Science and,JEE,AI to AI,AI
"",,,"Technology, Aurangabad",Engineering(Data Science),,,
103,188320 (2.9770579),0211293210,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",5G,MHT-CET,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
104,50195 (56.8862375),0211301110,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Agricultural Engineering,JEE(Main)-2024,AI to AI,AI
105,50935 (56.1295454),0211301110,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Agricultural Engineering,NEET-2024,AI to AI,AI
106,64016 (42.5307753),0211319110,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Civil Engineering,JEE,AI to AI,AI
107,27642 (73.7173337),0211324210,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
108,39531 (63.6133463),0211325710,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Design,,,
109,31233 (70.5982353),0211326310,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Artificial Intelligence (AI),JEE,AI to AI,AI
"",,,,and Data Science,,,
110,61444 (44.9891467),0211329310,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Electrical Engineering,JEE,AI to AI,AI
111,38912 (64.2467682),0211337210,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
112,58360 (47.6296012),0211361210,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Mechanical Engineering,JEE,AI to AI,AI
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
113,74593 (31.1916730),0211362410,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Mechatronics Engineering,JEE,AI to AI,AI
114,39651 (63.5686685),0211384410,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Electronics and Computer,JEE,AI to AI,AI
"",,,,Engineering,,,
115,75534 (30.4829638),0211419110,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Civil Engineering,JEE,AI to AI,AI
116,23215 (77.6415376),0211424210,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
117,34914 (67.4708310),0211437210,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
118,58239 (47.7566256),0211461210,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Mechanical Engineering,JEE,AI to AI,AI
119,23692 (77.1915267),0211491110,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering(Artificial,,,
120,88773 (7.9585837),0211619110,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Civil Engineering,JEE,AI to AI,AI
"",,,"Kupsarwadi , Nanded",,,,
121,58065 (48.0088741),0211624210,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Computer Science and,JEE,AI to AI,AI
"",,,"Kupsarwadi , Nanded",Engineering,,,
122,160502 (40.1066152),0211626310,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Artificial Intelligence (AI),MHT-CET,AI to AI,AI
"",,,"Kupsarwadi , Nanded",and Data Science,,,
123,88037 (10.0424586),0211629310,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Electrical Engineering,JEE,AI to AI,AI
"",,,"Kupsarwadi , Nanded",,,,
124,182424 (13.2387508),0211637210,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Electronics and,MHT-CET,AI to AI,AI
"",,,"Kupsarwadi , Nanded",Telecommunication Engg,,,
125,92508 (95.6491430),0211691110,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Computer Science and,MHT-CET,AI to AI,AI
"",,,"Kupsarwadi , Nanded",Engineering(Artificial,,,
126,41469 (62.0849504),0212719110,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Civil Engineering,JEE,AI to AI,AI
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
127,24891 (76.0877028),0212724210,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
128,35838 (66.6655105),0212724610,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Information Technology,JEE,AI to AI,AI
129,43049 (60.8949481),0212737210,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
130,74392 (31.6061014),0212761210,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Mechanical Engineering,JEE,AI to AI,AI
131,83235 (19.6876105),0212791610,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Automation and Robotics,JEE,AI to AI,AI
132,38544 (64.4404871),0212792110,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Artificial Intelligence and,JEE,AI to AI,AI
"",,,,Machine Learning,,,
133,62411 (43.9711053),0212919110,"02129 - M.S. Bidve Engineering College, Latur",Civil Engineering,JEE,AI to AI,AI
134,26032 (75.1570798),0212924210,"02129 - M.S. Bidve Engineering College, Latur",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
135,41183 (62.2823599),0212924610,"02129 - M.S. Bidve Engineering College, Latur",Information Technology,JEE,AI to AI,AI
136,82238 (21.0841875),0212929310,"02129 - M.S. Bidve Engineering College, Latur",Electrical Engineering,JEE,AI to AI,AI
137,55371 (50.2204774),0212937210,"02129 - M.S. Bidve Engineering College, Latur",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
138,176613 (21.4924132),0212961210,"02129 - M.S. Bidve Engineering College, Latur",Mechanical Engineering,MHT-CET,AI to AI,AI
139,46619 (57.8061345),0212991110,"02129 - M.S. Bidve Engineering College, Latur",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering(Artificial,,,
140,179078 (18.4142776),0213019110,"02130 - Terna Public Charitable Trust's College of Engineering, Osmanabad",Civil Engineering,MHT-CET,AI to AI,AI
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
141,53176 (52.1336234),0213024210,"02130 - Terna Public Charitable Trust's College of Engineering, Osmanabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
142,188531 (2.4044963),0213037210,"02130 - Terna Public Charitable Trust's College of Engineering, Osmanabad",Electronics and,MHT-CET,AI to AI,AI
"",,,,Telecommunication Engg,,,
143,76886 (28.4639143),0213099510,"02130 - Terna Public Charitable Trust's College of Engineering, Osmanabad",Artificial Intelligence and,JEE,AI to AI,AI
"",,,,Data Science,,,
144,187027 (5.5566668),0213124210,"02131 - Shree Tuljabhavani College of Engineering, Tuljapur",Computer Science and,MHT-CET,AI to AI,AI
"",,,,Engineering,,,
145,71661 (34.7059173),0213324210,"02133 - Mahatma Basaweshwar Education Society's College of Engineering,",Computer Science and,JEE,AI to AI,AI
"",,,Ambejogai,Engineering,,,
146,184272 (10.3145909),0213419110,"02134 - Peoples Education Society's College of Engineering, Aurangabad",Civil Engineering,MHT-CET,AI to AI,AI
147,33624 (68.6174754),0213424210,"02134 - Peoples Education Society's College of Engineering, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
148,179041 (18.4142776),0213429310,"02134 - Peoples Education Society's College of Engineering, Aurangabad",Electrical Engineering,MHT-CET,AI to AI,AI
149,75998 (29.7188447),0213437810,"02134 - Peoples Education Society's College of Engineering, Aurangabad",Electronics Engineering (,JEE,AI to AI,AI
"",,,,VLSI Design and,,,
150,68446 (38.1372939),0213484410,"02134 - Peoples Education Society's College of Engineering, Aurangabad",Electronics and Computer,JEE,AI to AI,AI
"",,,,Engineering,,,
151,47327 (57.3147779),0213491210,"02134 - Peoples Education Society's College of Engineering, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering(Data Science),,,
152,72035 (34.5491435),0213524210,"02135 - Hi-Tech Institute of Technology, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
153,182018 (13.7020033),0213561210,"02135 - Hi-Tech Institute of Technology, Aurangabad",Mechanical Engineering,MHT-CET,AI to AI,AI
154,75324 (30.6086486),0213591110,"02135 - Hi-Tech Institute of Technology, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering(Artificial,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
