Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
1,10233 (89.3995517),0110124210,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
2,14696 (85.3175964),0110124610,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,JEE,AI to AI,AI
3,21006 (79.6181326),0110135610,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics,JEE,AI to AI,AI
"",,,,and Power],,,
4,19830 (80.7176074),0110137210,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
5,30398 (71.3769198),0110161210,"01101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,JEE,AI to AI,AI
6,50584 (54.4646573),0110519110,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,JEE,AI to AI,AI
7,23421 (77.4599403),0110524210,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
8,27846 (73.6143868),0110524610,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Information Technology,JEE,AI to AI,AI
9,32165 (69.7929881),0110526310,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Artificial Intelligence (AI),JEE,AI to AI,AI
"",,,,and Data Science,,,
10,38259 (64.7153175),0110526710,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering (IoT),,,
11,37657 (65.2441867),0110537210,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
12,58054 (48.0088741),0110561210,"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Mechanical Engineering,JEE,AI to AI,AI
13,46054 (58.2828077),0110719110,"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Civil Engineering,JEE,AI to AI,AI
14,29616 (72.0547535),0110724210,"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
15,39579 (63.5789807),0110729310,"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Electrical Engineering,JEE,AI to AI,AI
16,41148 (62.3601588),0110737210,"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
17,57942 (48.1018012),0110761210,"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Mechanical Engineering,JEE,AI to AI,AI
18,40651 (62.7445130),0110791110,"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering(Artificial,,,
19,32520 (69.5628064),0110799510,"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Artificial Intelligence and,JEE,AI to AI,AI
"",,,,Data Science,,,
20,50588 (54.4646573),0111419110,"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology,",Civil Engineering,JEE,AI to AI,AI
"",,,Amravati,,,,
21,30917 (70.8647980),0111424210,"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology,",Computer Science and,JEE,AI to AI,AI
"",,,Amravati,Engineering,,,
22,34735 (67.6020831),0111424610,"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology,",Information Technology,JEE,AI to AI,AI
"",,,Amravati,,,,
23,38969 (64.2435857),0111426310,"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology,",Artificial Intelligence (AI),JEE,AI to AI,AI
"",,,Amravati,and Data Science,,,
24,42664 (61.0395438),0111437210,"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology,",Electronics and,JEE,AI to AI,AI
"",,,Amravati,Telecommunication Engg,,,
25,59551 (46.5960891),0111461210,"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology,",Mechanical Engineering,JEE,AI to AI,AI
"",,,Amravati,,,,
