Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
366,16234 (83.9138867),0319024610,"03190 - Terna Engineering College, Nerul, Navi Mumbai",Information Technology,JEE(Main)-2024,AI to AI,AI
367,37287 (65.5172740),0319037610,"03190 - Terna Engineering College, Nerul, Navi Mumbai",Electronics Engineering,JEE(Main)-2024,AI to AI,AI
368,16066 (84.0198186),0319026310,"03190 - Terna Engineering College, Nerul, Navi Mumbai",Artificial Intelligence (AI),JEE(Main)-2024,AI to AI,AI
"",,,,and Data Science,,,
369,15096 (84.9387797),0319024510,"03190 - Terna Engineering College, Nerul, Navi Mumbai",Computer Engineering,JEE(Main)-2024,AI to AI,AI
370,31395 (70.5787934),0319037210,"03190 - Terna Engineering College, Nerul, Navi Mumbai",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
371,58768 (47.4197507),0319229310,"03192 - Smt. Indira Gandhi College of Engineering, Navi Mumbai",Electrical Engineering,JEE(Main)-2024,AI to AI,AI
372,29889 (71.8011248),0319292010,"03192 - Smt. Indira Gandhi College of Engineering, Navi Mumbai",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering (Internet of,,,
373,20569 (80.0274115),0319224510,"03192 - Smt. Indira Gandhi College of Engineering, Navi Mumbai",Computer Engineering,JEE(Main)-2024,AI to AI,AI
374,25242 (75.7901666),0319299510,"03192 - Smt. Indira Gandhi College of Engineering, Navi Mumbai",Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,,Data Science,,,
375,23824 (77.0812200),0319291110,"03192 - Smt. Indira Gandhi College of Engineering, Navi Mumbai",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering(Artificial,,,
376,63237 (43.1588279),0319261210,"03192 - Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
377,77671 (27.2706650),0319361210,"03193 - Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
378,64664 (42.0665339),0319350710,"03193 - Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Chemical Engineering,JEE(Main)-2024,AI to AI,AI
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
379,30432 (71.3445815),0319392110,"03193 - Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,,Machine Learning,,,
380,28909 (72.6699075),0319324510,"03193 - Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Computer Engineering,JEE(Main)-2024,AI to AI,AI
381,47076 (57.5186655),0319337210,"03193 - Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
382,31468 (70.5477463),0319324610,"03193 - Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Information Technology,JEE(Main)-2024,AI to AI,AI
383,16449 (83.6733531),0319424610,"03194 - Vidyavardhini's College of Engineering and Technology, Vasai",Information Technology,JEE(Main)-2024,AI to AI,AI
384,27843 (73.6143868),0319437210,"03194 - Vidyavardhini's College of Engineering and Technology, Vasai",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
385,21472 (79.1146984),0319491210,"03194 - Vidyavardhini's College of Engineering and Technology, Vasai",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering(Data Science),,,
386,43427 (60.5733600),0319461210,"03194 - Vidyavardhini's College of Engineering and Technology, Vasai",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
387,15441 (84.6392764),0319424510,"03194 - Vidyavardhini's College of Engineering and Technology, Vasai",Computer Engineering,JEE(Main)-2024,AI to AI,AI
388,72026 (34.5491435),0319419110,"03194 - Vidyavardhini's College of Engineering and Technology, Vasai",Civil Engineering,JEE(Main)-2024,AI to AI,AI
389,48460 (56.2873843),0319437810,"03194 - Vidyavardhini's College of Engineering and Technology, Vasai",Electronics Engineering (,JEE(Main)-2024,AI to AI,AI
"",,,,VLSI Design and,,,
390,16686 (83.5374616),0319499510,"03194 - Vidyavardhini's College of Engineering and Technology, Vasai",Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,,Data Science,,,
391,53643 (51.7541555),0319661210,"03196 - Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
392,13094 (86.7630872),0319624510,"03196 - Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Engineering,JEE(Main)-2024,AI to AI,AI
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
393,19800 (80.7176074),0319692010,"03196 - Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering (Internet of,,,
394,18956 (81.4533784),0319691210,"03196 - Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering(Data Science),,,
395,28335 (72.9923375),0319637210,"03196 - Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
396,20121 (80.3927437),0319691110,"03196 - Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering(Artificial,,,
397,39033 (64.1774008),0319629310,"03196 - Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Electrical Engineering,JEE(Main)-2024,AI to AI,AI
398,19570 (80.9683243),0319761210,"03197 - Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
"",,,Mumbai,,,,
399,7119 (92.2750972),0319737210,"03197 - Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,Mumbai,Telecommunication Engg,,,
400,5220 (94.0133696),0319724610,"03197 - Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi",Information Technology,JEE(Main)-2024,AI to AI,AI
"",,,Mumbai,,,,
401,4870 (94.3579407),0319724510,"03197 - Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi",Computer Engineering,JEE(Main)-2024,AI to AI,AI
"",,,Mumbai,,,,
402,8839 (90.6707135),0319729310,"03197 - Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi",Electrical Engineering,JEE(Main)-2024,AI to AI,AI
"",,,Mumbai,,,,
403,45359 (58.8742611),0319899510,"03198 - Konkan Gyanpeeth College of Engineering, Karjat",Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,,Data Science,,,
404,44712 (59.4921959),0319824610,"03198 - Konkan Gyanpeeth College of Engineering, Karjat",Information Technology,JEE(Main)-2024,AI to AI,AI
405,37913 (64.9789150),0319824210,"03198 - Konkan Gyanpeeth College of Engineering, Karjat",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering,,,
406,38414 (64.5643132),0319824510,"03198 - Konkan Gyanpeeth College of Engineering, Karjat",Computer Engineering,JEE(Main)-2024,AI to AI,AI
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
407,1849 (97.3251620),0319992010,03199 - Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of,Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering, Vile Parle,Mumbai",Engineering (Internet of,,,
408,4074 (95.0958991),0319961210,03199 - Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of,Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering, Vile Parle,Mumbai",,,,
409,1500 (97.6683893),0319924610,03199 - Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of,Information Technology,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering, Vile Parle,Mumbai",,,,
410,1593 (97.5892053),0319991210,03199 - Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of,Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering, Vile Parle,Mumbai",Engineering(Data Science),,,
411,2498 (96.6168085),0319937210,03199 - Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of,Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering, Vile Parle,Mumbai",Telecommunication Engg,,,
412,885 (98.4023558),0319924510,03199 - Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of,Computer Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering, Vile Parle,Mumbai",,,,
413,1760 (97.4217070),0319992110,03199 - Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of,Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering, Vile Parle,Mumbai",Machine Learning,,,
414,1488 (97.6970007),0319926310,03199 - Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of,Artificial Intelligence (AI),JEE(Main)-2024,AI to AI,AI
"",,,"Engineering, Vile Parle,Mumbai",and Data Science,,,
415,49332 (55.5917670),0320091010,03200 - Hope Foundation and research center's  Finolex Academy of,Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Management and Technology, Ratnagiri",Engineering(Cyber,,,
416,35862 (66.6655105),0320091110,03200 - Hope Foundation and research center's  Finolex Academy of,Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Management and Technology, Ratnagiri",Engineering(Artificial,,,
417,47457 (57.3011125),0320024610,03200 - Hope Foundation and research center's  Finolex Academy of,Information Technology,JEE(Main)-2024,AI to AI,AI
"",,,"Management and Technology, Ratnagiri",,,,
418,141506 (57.1543272),0320061210,03200 - Hope Foundation and research center's  Finolex Academy of,Mechanical Engineering,MHT-CET,AI to AI,AI
"",,,"Management and Technology, Ratnagiri",,,,
419,144943 (54.0859766),0320029310,03200 - Hope Foundation and research center's  Finolex Academy of,Electrical Engineering,MHT-CET,AI to AI,AI
"",,,"Management and Technology, Ratnagiri",,,,
420,72616 (33.4714446),0320037210,03200 - Hope Foundation and research center's  Finolex Academy of,Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,"Management and Technology, Ratnagiri",Telecommunication Engg,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
421,88509 (8.7363016),0320050710,03200 - Hope Foundation and research center's  Finolex Academy of,Chemical Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Management and Technology, Ratnagiri",,,,
422,34916 (67.4708310),0320161210,"03201 - Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
423,40182 (63.2235380),0320119110,"03201 - Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Civil Engineering,JEE(Main)-2024,AI to AI,AI
424,17745 (82.5427557),0320190010,"03201 - Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Electronics and Computer,JEE(Main)-2024,AI to AI,AI
"",,,,Science,,,
425,10395 (89.2384640),0320124510,"03201 - Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Computer Engineering,JEE(Main)-2024,AI to AI,AI
426,11421 (88.3203208),0320199510,"03201 - Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,,Data Science,,,
427,86003 (14.3670255),0320290010,03202 - Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Electronics and Computer,JEE(Main)-2024,AI to AI,AI
"",,,,Science,,,
428,61110 (45.2445766),0320224510,03202 - Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Computer Engineering,JEE(Main)-2024,AI to AI,AI
429,18609 (81.7745907),0320390010,"03203 - Atharva College of Engineering,Malad(West),Mumbai",Electronics and Computer,JEE(Main)-2024,AI to AI,AI
"",,,,Science,,,
430,26320 (74.7742358),0320337210,"03203 - Atharva College of Engineering,Malad(West),Mumbai",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
431,34256 (68.1212955),0320329310,"03203 - Atharva College of Engineering,Malad(West),Mumbai",Electrical Engineering,JEE(Main)-2024,AI to AI,AI
432,12653 (87.1844010),0320324510,"03203 - Atharva College of Engineering,Malad(West),Mumbai",Computer Engineering,JEE(Main)-2024,AI to AI,AI
433,15040 (85.0419414),0320324610,"03203 - Atharva College of Engineering,Malad(West),Mumbai",Information Technology,JEE(Main)-2024,AI to AI,AI
434,17458 (82.7686005),0320429310,"03204 - St. Francis Institute of Technology,Borivali, Mumbai",Electrical Engineering,JEE(Main)-2024,AI to AI,AI
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
435,13744 (86.1641248),0320437210,"03204 - St. Francis Institute of Technology,Borivali, Mumbai",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
436,12306 (87.4990650),0320490010,"03204 - St. Francis Institute of Technology,Borivali, Mumbai",Electronics and Computer,JEE(Main)-2024,AI to AI,AI
"",,,,Science,,,
437,8216 (91.2411348),0320492110,"03204 - St. Francis Institute of Technology,Borivali, Mumbai",Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,,Machine Learning,,,
438,6673 (92.6824720),0320424510,"03204 - St. Francis Institute of Technology,Borivali, Mumbai",Computer Engineering,JEE(Main)-2024,AI to AI,AI
439,7842 (91.6054439),0320424610,"03204 - St. Francis Institute of Technology,Borivali, Mumbai",Information Technology,JEE(Main)-2024,AI to AI,AI
440,26499 (74.5994626),0320461210,"03204 - St. Francis Institute of Technology,Borivali, Mumbai",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
441,166666 (33.5585964),0320629310,"03206 - S.S.P.M.'s College of Engineering, Kankavli",Electrical Engineering,MHT-CET,AI to AI,AI
442,174252 (24.4231968),0320662410,"03206 - S.S.P.M.'s College of Engineering, Kankavli",Mechatronics Engineering,MHT-CET,AI to AI,AI
443,188927 (1.6171274),0320661210,"03206 - S.S.P.M.'s College of Engineering, Kankavli",Mechanical Engineering,MHT-CET,AI to AI,AI
444,22985 (77.8322511),0320656610,"03206 - S.S.P.M.'s College of Engineering, Kankavli",Computer Science,JEE(Main)-2024,AI to AI,AI
445,61064 (45.3164723),0320691110,"03206 - S.S.P.M.'s College of Engineering, Kankavli",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering(Artificial,,,
446,86432 (13.5512762),0320690010,"03206 - S.S.P.M.'s College of Engineering, Kankavli",Electronics and Computer,JEE(Main)-2024,AI to AI,AI
"",,,,Science,,,
447,48973 (55.8362630),0320624510,"03206 - S.S.P.M.'s College of Engineering, Kankavli",Computer Engineering,JEE(Main)-2024,AI to AI,AI
448,11885 (87.8125666),0320724610,"03207 - Mahatma Education Society's Pillai College of Engineering, New Panvel",Information Technology,JEE(Main)-2024,AI to AI,AI
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
449,15875 (84.2471428),0320790010,"03207 - Mahatma Education Society's Pillai College of Engineering, New Panvel",Electronics and Computer,JEE(Main)-2024,AI to AI,AI
"",,,,Science,,,
450,29901 (71.8011248),0320761210,"03207 - Mahatma Education Society's Pillai College of Engineering, New Panvel",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
451,10788 (88.8546124),0320724510,"03207 - Mahatma Education Society's Pillai College of Engineering, New Panvel",Computer Engineering,JEE(Main)-2024,AI to AI,AI
452,19093 (81.3266412),0320737210,"03207 - Mahatma Education Society's Pillai College of Engineering, New Panvel",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
453,34440 (67.8813538),0320760210,"03207 - Mahatma Education Society's Pillai College of Engineering, New Panvel",Automobile Engineering,JEE(Main)-2024,AI to AI,AI
454,7367 (92.0869394),0320824610,"03208 - Don Bosco Institute of Technology, Mumbai",Information Technology,JEE(Main)-2024,AI to AI,AI
455,6037 (93.2917186),0320824510,"03208 - Don Bosco Institute of Technology, Mumbai",Computer Engineering,JEE(Main)-2024,AI to AI,AI
456,13635 (86.2828760),0320837210,"03208 - Don Bosco Institute of Technology, Mumbai",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
457,25271 (75.7901666),0320861210,"03208 - Don Bosco Institute of Technology, Mumbai",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
458,4639 (94.5520602),0320937210,03209 - K J Somaiya Institute of Technology,Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
459,4214 (94.9581147),0320999510,03209 - K J Somaiya Institute of Technology,Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,,Data Science,,,
460,2934 (96.1987432),0320924510,03209 - K J Somaiya Institute of Technology,Computer Engineering,JEE(Main)-2024,AI to AI,AI
461,3916 (95.2492023),0320924610,03209 - K J Somaiya Institute of Technology,Information Technology,JEE(Main)-2024,AI to AI,AI
462,33670 (68.6174754),0321037210,03210 - Excelsior Education Society's K.C. College of Engineering and,Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,"Management Studies and Research, Kopri, Thane (E)",Telecommunication Engg,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
463,27652 (73.7173337),0321024610,03210 - Excelsior Education Society's K.C. College of Engineering and,Information Technology,JEE(Main)-2024,AI to AI,AI
"",,,"Management Studies and Research, Kopri, Thane (E)",,,,
464,23155 (77.6558450),0321024510,03210 - Excelsior Education Society's K.C. College of Engineering and,Computer Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Management Studies and Research, Kopri, Thane (E)",,,,
465,6147 (93.2038376),0321124510,"03211 - S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Computer Engineering,JEE(Main)-2024,AI to AI,AI
466,10550 (89.0565174),0321190010,"03211 - S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Electronics and Computer,JEE(Main)-2024,AI to AI,AI
"",,,,Science,,,
467,10181 (89.4363827),0321192110,"03211 - S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,,Machine Learning,,,
468,10195 (89.4276667),0321192010,"03211 - S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering (Internet of,,,
469,8455 (91.0448398),0321199510,"03211 - S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,,Data Science,,,
470,7839 (91.6054439),0321124610,"03211 - S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Information Technology,JEE(Main)-2024,AI to AI,AI
471,14068 (85.8963155),0321137210,"03211 - S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
472,174498 (24.3094646),0321219110,"03212 - Watumull Institute of  Engineering & Technology, Ulhasnagar",Civil Engineering,MHT-CET,AI to AI,AI
473,33897 (68.3359129),0321224510,"03212 - Watumull Institute of  Engineering & Technology, Ulhasnagar",Computer Engineering,JEE(Main)-2024,AI to AI,AI
474,11241 (88.4954015),0321437210,03214 - Xavier Institute Of Engineering C/O  Xavier Technical,Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,"Institute,Mahim,Mumbai",Telecommunication Engg,,,
475,7749 (91.6746484),0321492010,03214 - Xavier Institute Of Engineering C/O  Xavier Technical,Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Institute,Mahim,Mumbai",Engineering (Internet of,,,
476,6438 (92.9169333),0321424510,03214 - Xavier Institute Of Engineering C/O  Xavier Technical,Computer Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Institute,Mahim,Mumbai",,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
477,8243 (91.2334144),0321424610,03214 - Xavier Institute Of Engineering C/O  Xavier Technical,Information Technology,JEE(Main)-2024,AI to AI,AI
"",,,"Institute,Mahim,Mumbai",,,,
478,613 (98.8014556),0321524210,"03215 - Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology ,",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Andheri, Mumbai",Engineering,,,
479,1225 (97.9944274),0321537210,"03215 - Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology ,",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,"Andheri, Mumbai",Telecommunication Engg,,,
480,652 (98.7589230),0321524510,"03215 - Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology ,",Computer Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Andheri, Mumbai",,,,
481,65051 (41.4812919),0321624510,"03216 - Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Computer Engineering,JEE(Main)-2024,AI to AI,AI
482,60262 (46.0832398),0321691110,"03216 - Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering(Artificial,,,
483,82073 (21.1825746),0321637210,"03216 - Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
484,164458 (35.6703287),0321661210,"03216 - Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Mechanical Engineering,MHT-CET,AI to AI,AI
485,145323 (53.8203081),0321650710,"03216 - Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Chemical Engineering,MHT-CET,AI to AI,AI
486,187235 (5.0055145),0321619110,"03216 - Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Civil Engineering,MHT-CET,AI to AI,AI
487,160869 (39.5390798),0321791610,03217 - Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering &,Automation and Robotics,MHT-CET,AI to AI,AI
"",,,"Technology, Shahapur, Asangaon, Dist Thane",,,,
488,70409 (36.1142708),0321737210,03217 - Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering &,Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Shahapur, Asangaon, Dist Thane",Telecommunication Engg,,,
489,41958 (61.6843972),0321724510,03217 - Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering &,Computer Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Shahapur, Asangaon, Dist Thane",,,,
490,29487 (72.1862872),0321891210,"03218 - Aldel Education Trust's St. John College of Engineering & Management,",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Vevoor, Palghar",Engineering(Data Science),,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
491,34415 (67.8982939),0321890010,"03218 - Aldel Education Trust's St. John College of Engineering & Management,",Electronics and Computer,JEE(Main)-2024,AI to AI,AI
"",,,"Vevoor, Palghar",Science,,,
492,22455 (78.2179976),0321824510,"03218 - Aldel Education Trust's St. John College of Engineering & Management,",Computer Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Vevoor, Palghar",,,,
493,29250 (72.3618700),0321892110,"03218 - Aldel Education Trust's St. John College of Engineering & Management,",Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,"Vevoor, Palghar",Machine Learning,,,
494,26894 (74.3948499),0321824610,"03218 - Aldel Education Trust's St. John College of Engineering & Management,",Information Technology,JEE(Main)-2024,AI to AI,AI
"",,,"Vevoor, Palghar",,,,
495,58673 (47.4238693),0321861210,"03218 - Aldel Education Trust's St. John College of Engineering & Management,",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Vevoor, Palghar",,,,
496,181379 (15.1214416),0321819110,"03218 - Aldel Education Trust's St. John College of Engineering & Management,",Civil Engineering,MHT-CET,AI to AI,AI
"",,,"Vevoor, Palghar",,,,
497,87126 (11.8688758),0321937210,03219 - Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of,Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering and Technology,  Sapgaon, Tal. Shahapur",Telecommunication Engg,,,
498,76348 (29.3650075),0321929310,03219 - Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of,Electrical Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering and Technology,  Sapgaon, Tal. Shahapur",,,,
499,187948 (3.6167117),0321919110,03219 - Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of,Civil Engineering,MHT-CET,AI to AI,AI
"",,,"Engineering and Technology,  Sapgaon, Tal. Shahapur",,,,
500,57913 (48.1018012),0321924510,03219 - Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of,Computer Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering and Technology,  Sapgaon, Tal. Shahapur",,,,
501,61865 (44.4375985),0321991110,03219 - Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of,Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering and Technology,  Sapgaon, Tal. Shahapur",Engineering(Artificial,,,
502,38297 (64.7153175),0321924610,03219 - Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of,Information Technology,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering and Technology,  Sapgaon, Tal. Shahapur",,,,
503,54643 (50.9711006),0322024510,03220 - Yadavrao Tasgaonkar College of Engineering & Management,Computer Engineering,JEE(Main)-2024,AI to AI,AI
504,74369 (31.6655269),0322019110,03220 - Yadavrao Tasgaonkar College of Engineering & Management,Civil Engineering,JEE(Main)-2024,AI to AI,AI
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
505,44726 (59.4141074),0322025210,03220 - Yadavrao Tasgaonkar College of Engineering & Management,Cyber Security,JEE(Main)-2024,AI to AI,AI
506,61121 (45.2445766),0322024610,03220 - Yadavrao Tasgaonkar College of Engineering & Management,Information Technology,JEE(Main)-2024,AI to AI,AI
507,70347 (36.1313730),0322092110,03220 - Yadavrao Tasgaonkar College of Engineering & Management,Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,,Machine Learning,,,
508,170000 (29.6395567),0322037210,03220 - Yadavrao Tasgaonkar College of Engineering & Management,Electronics and,MHT-CET,AI to AI,AI
"",,,,Telecommunication Engg,,,
509,151693 (48.0648514),0322161210,"03221 - Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology,",Mechanical Engineering,MHT-CET,AI to AI,AI
"",,,Virar,,,,
510,64781 (42.0212766),0322192610,"03221 - Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology,",Electrical and Computer,JEE(Main)-2024,AI to AI,AI
"",,,Virar,Engineering,,,
511,47545 (57.2424075),0322191110,"03221 - Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology,",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,Virar,Engineering(Artificial,,,
512,141100 (57.2163252),0322119110,"03221 - Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology,",Civil Engineering,MHT-CET,AI to AI,AI
"",,,Virar,,,,
