Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",,,"Engineering, Pusad",Engineering,,,
35,61139 (45.2445766),0111799510,01117 - Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of,Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering, Pusad",Data Science,,,
36,48560 (56.2235696),0111924210,"01119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering College, Chikhali",Engineering,,,
37,175587 (22.5662265),0111961210,"01119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha",Mechanical Engineering,MHT-CET,AI to AI,AI
"",,,"Engineering College, Chikhali",,,,
38,62971 (43.5428977),0111924610,"01119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha",Information Technology,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering College, Chikhali",,,,
39,180260 (16.2979967),0111950710,"01119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha",Chemical Engineering,MHT-CET,AI to AI,AI
"",,,"Engineering College, Chikhali",,,,
40,72620 (33.4714446),0111937210,"01119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,"Engineering College, Chikhali",Telecommunication Engg,,,
41,71696 (34.7059173),0112019110,"01120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Civil Engineering,JEE(Main)-2024,AI to AI,AI
42,59575 (46.5960891),0112089310,"01120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Textile Engineering /,JEE(Main)-2024,AI to AI,AI
"",,,,Technology,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
43,39235 (63.8828633),0112050710,"01120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Chemical Engineering,JEE(Main)-2024,AI to AI,AI
44,20521 (80.0308535),0112024210,"01120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering,,,
45,67571 (39.1527671),0112061210,"01120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
46,54032 (51.4671199),0112029310,"01120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Electrical Engineering,JEE(Main)-2024,AI to AI,AI
47,26849 (74.4735956),0112037210,"01120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
48,36487 (66.2569654),0112124210,01121 - Shri Hanuman Vyayam  Prasarak Mandals College of Engineering &,Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Amravati",Engineering,,,
49,49991 (55.0466064),0112137210,01121 - Shri Hanuman Vyayam  Prasarak Mandals College of Engineering &,Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Amravati",Telecommunication Engg,,,
50,44216 (59.9479500),0112124610,01121 - Shri Hanuman Vyayam  Prasarak Mandals College of Engineering &,Information Technology,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Amravati",,,,
51,61498 (44.8443341),0112161210,01121 - Shri Hanuman Vyayam  Prasarak Mandals College of Engineering &,Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Amravati",,,,
52,75946 (29.7188447),0112319110,"01123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Civil Engineering,JEE(Main)-2024,AI to AI,AI
53,47619 (57.0199716),0112324210,"01123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering,,,
54,79671 (24.8312223),0112361210,"01123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
55,58743 (47.4238693),0112337210,"01123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
56,82271 (21.0827014),0112529310,"01125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu",Electrical Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"College of Engineering, Buldhana",,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
57,60705 (45.5083235),0112524210,"01125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"College of Engineering, Buldhana",Engineering,,,
58,83917 (18.2888686),0112526310,"01125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu",Artificial Intelligence (AI),JEE(Main)-2024,AI to AI,AI
"",,,"College of Engineering, Buldhana",and Data Science,,,
59,183676 (11.4128678),0112561210,"01125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu",Mechanical Engineering,MHT-CET,AI to AI,AI
"",,,"College of Engineering, Buldhana",,,,
60,184972 (9.2050034),0112519110,"01125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu",Civil Engineering,MHT-CET,AI to AI,AI
"",,,"College of Engineering, Buldhana",,,,
61,170724 (28.7732713),0112619110,"01126 - Takshashila Institute of Engineering & Technology, Darapur, Amravati",Civil Engineering,MHT-CET,AI to AI,AI
62,85436 (15.4875273),0112661210,"01126 - Takshashila Institute of Engineering & Technology, Darapur, Amravati",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
63,164932 (35.2166182),0112629310,"01126 - Takshashila Institute of Engineering & Technology, Darapur, Amravati",Electrical Engineering,MHT-CET,AI to AI,AI
64,80986 (23.0331736),0112637210,"01126 - Takshashila Institute of Engineering & Technology, Darapur, Amravati",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
65,57767 (48.2678103),0112624210,"01126 - Takshashila Institute of Engineering & Technology, Darapur, Amravati",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering,,,
66,67991 (38.7568676),0112737210,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",Telecommunication Engg,,,
67,72097 (34.4865069),0112729310,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Electrical Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",,,,
68,57238 (48.6301306),0112724510,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Computer Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",,,,
69,89886 (4.5569597),0112719110,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Civil Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",,,,
70,154759 (45.5219220),0112761210,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Mechanical Engineering,MHT-CET,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
71,32502 (69.5628064),0112824210,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering,,,
72,44607 (59.6793493),0112891210,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering(Data Science),,,
73,40369 (62.8786263),0112824610,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Information Technology,JEE(Main)-2024,AI to AI,AI
74,49599 (55.2237550),0112829310,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Electrical Engineering,JEE(Main)-2024,AI to AI,AI
75,41906 (61.8146129),0112837210,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
76,59319 (46.7162819),0112819110,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Civil Engineering,JEE(Main)-2024,AI to AI,AI
77,183169 (11.9971742),0113019110,01130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad,Civil Engineering,MHT-CET,AI to AI,AI
"",,,"Institute of Technology & Management Studies, Yelgaon",,,,
78,86261 (13.7213186),0113037210,01130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad,Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,"Institute of Technology & Management Studies, Yelgaon",Telecommunication Engg,,,
79,73264 (32.9231840),0113024210,01130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad,Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Institute of Technology & Management Studies, Yelgaon",Engineering,,,
80,187602 (4.3685242),0113061210,01130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad,Mechanical Engineering,MHT-CET,AI to AI,AI
"",,,"Institute of Technology & Management Studies, Yelgaon",,,,
81,188407 (2.7203264),0113035610,01130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad,Electrical Engg[Electronics,MHT-CET,AI to AI,AI
"",,,"Institute of Technology & Management Studies, Yelgaon",and Power],,,
82,88132 (9.7453109),0118029310,"01180 - Sanmati Engineering College, Sawargaon Barde, Washim",Electrical Engineering,JEE(Main)-2024,AI to AI,AI
83,171300 (28.0884374),0118026310,"01180 - Sanmati Engineering College, Sawargaon Barde, Washim",Artificial Intelligence (AI),MHT-CET,AI to AI,AI
"",,,,and Data Science,,,
84,70621 (36.0345296),0118024210,"01180 - Sanmati Engineering College, Sawargaon Barde, Washim",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
85,89225 (6.6246734),0118261210,"01182 - Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
86,170529 (28.8690743),0118219110,"01182 - Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Civil Engineering,MHT-CET,AI to AI,AI
87,76524 (28.9672655),0118229310,"01182 - Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Electrical Engineering,JEE(Main)-2024,AI to AI,AI
88,63420 (42.9943278),0118224210,"01182 - Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering,,,
89,61969 (44.4375985),0126519110,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Civil Engineering,JEE(Main)-2024,AI to AI,AI
"",,,Shegaon.,,,,
90,38434 (64.5326492),0126524610,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Information Technology,JEE(Main)-2024,AI to AI,AI
"",,,Shegaon.,,,,
91,64295 (42.2955322),0126561210,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
"",,,Shegaon.,,,,
92,55673 (49.9215366),0126535610,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Electrical Engg[Electronics,JEE(Main)-2024,AI to AI,AI
"",,,Shegaon.,and Power],,,
93,44508 (59.6793493),0126537210,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,Shegaon.,Telecommunication Engg,,,
94,33561 (68.6174754),0126524210,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,Shegaon.,Engineering,,,
95,73533 (32.7021369),0126837210,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",Telecommunication Engg,,,
96,83427 (19.0349497),0126899510,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",Data Science,,,
97,69836 (36.6180714),0126824210,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",Engineering,,,
98,172721 (26.1271353),0126835610,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Electrical Engg[Electronics,MHT-CET,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",and Power],,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
99,180747 (15.9803473),0126819110,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Civil Engineering,MHT-CET,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",,,,
100,185879 (7.5978015),0126861210,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Mechanical Engineering,MHT-CET,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",,,,
101,183958 (11.0205778),0127629310,"01276 - Manav School of Engineering & Technology, Gut No. 1035 Nagpur",Electrical Engineering,MHT-CET,AI to AI,AI
"",,,"Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",,,,
102,61299 (45.1836004),0127624510,"01276 - Manav School of Engineering & Technology, Gut No. 1035 Nagpur",Computer Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",,,,
103,13924 (86.0367532),0203290410,"02032 - Institute of Chemical Technology, Mumbai Marathwada off campus,",Chemical Engineering,JEE(Main)-2024,AI to AI,AI
"",,,Jalna,,,,
104,86944 (12.4411139),0211199510,"02111 - Everest Education Society, Group of Institutions (Integrated Campus),",Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,Ohar,Data Science,,,
105,185242 (8.8405987),0211129310,"02111 - Everest Education Society, Group of Institutions (Integrated Campus),",Electrical Engineering,MHT-CET,AI to AI,AI
"",,,Ohar,,,,
106,173388 (25.6482713),0211192110,"02111 - Everest Education Society, Group of Institutions (Integrated Campus),",Artificial Intelligence and,MHT-CET,AI to AI,AI
"",,,Ohar,Machine Learning,,,
107,48693 (56.0687777),0211124210,"02111 - Everest Education Society, Group of Institutions (Integrated Campus),",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,Ohar,Engineering,,,
108,177463 (20.9331029),0211293210,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",5G,MHT-CET,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
109,185877 (7.5978015),0211292910,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",VLSI,MHT-CET,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
110,66399 (40.0503434),0211291210,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Aurangabad",Engineering(Data Science),,,
111,60940 (45.4182813),0211291110,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Aurangabad",Engineering(Artificial,,,
112,160335 (40.1066152),0211219110,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Civil Engineering,MHT-CET,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
113,50926 (54.2765449),0211224210,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Aurangabad",Engineering,,,
114,158760 (42.1597155),0211261210,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Mechanical Engineering,MHT-CET,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
115,74007 (32.0057037),0211284410,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Electronics and Computer,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Aurangabad",Engineering,,,
116,84221 (17.7085708),0211229310,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Electrical Engineering,JEE(Main)-2024,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
117,44632 (59.5678435),0211325710,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Design,,,
118,38650 (64.3372475),0211326310,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Artificial Intelligence (AI),JEE(Main)-2024,AI to AI,AI
"",,,,and Data Science,,,
119,29484 (72.1862872),0211324210,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering,,,
120,70590 (36.0432717),0211362410,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Mechatronics Engineering,JEE(Main)-2024,AI to AI,AI
121,41450 (62.0849504),0211337210,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
122,70161 (36.3198089),0211319110,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Civil Engineering,JEE(Main)-2024,AI to AI,AI
123,52611 (52.9550499),0211384410,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Electronics and Computer,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering,,,
124,28413 (74.0390958),0211301110,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Agricultural Engineering,NEET-2024,AI to AI,AI
125,65818 (40.8432271),0211329310,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Electrical Engineering,JEE(Main)-2024,AI to AI,AI
126,75555 (30.4829638),0211361210,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
127,30192 (72.7256174),0211301110,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Agricultural Engineering,JEE(Main)-2024,AI to AI,AI
128,189099 (1.1972353),0211350110,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Plastic and Polymer,MHT-CET,AI to AI,AI
"",,,,Engineering,,,
129,71486 (34.7387002),0211461210,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Mechanical Engineering,JEE(Main)-2024,AI to AI,AI
130,76441 (29.2883952),0211419110,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Civil Engineering,JEE(Main)-2024,AI to AI,AI
131,28516 (72.8734519),0211491110,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering(Artificial,,,
132,40948 (62.4401366),0211437210,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,,Telecommunication Engg,,,
133,20686 (79.8386962),0211424210,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering,,,
