Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
36,50569 (54.4646573),0112324210,"01123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
37,57689 (48.2828053),0112337210,"01123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
38,71130 (35.2437565),0112361210,"01123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Mechanical Engineering,JEE,AI to AI,AI
39,76409 (29.2883952),0112524210,"01125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu",Computer Science and,JEE,AI to AI,AI
"",,,"College of Engineering, Buldhana",Engineering,,,
40,69653 (36.6705729),0112526310,"01125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu",Artificial Intelligence (AI),JEE,AI to AI,AI
"",,,"College of Engineering, Buldhana",and Data Science,,,
41,110411 (79.4895283),0112619110,"01126 - Takshashila Institute of Engineering & Technology, Darapur, Amravati",Civil Engineering,MHT-CET,AI to AI,AI
42,67342 (39.4204787),0112624210,"01126 - Takshashila Institute of Engineering & Technology, Darapur, Amravati",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
43,78826 (25.7633394),0112629310,"01126 - Takshashila Institute of Engineering & Technology, Darapur, Amravati",Electrical Engineering,JEE,AI to AI,AI
44,76195 (29.3959598),0112719110,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Civil Engineering,JEE,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",,,,
45,58120 (48.0088741),0112724510,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Computer Engineering,JEE,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",,,,
46,66798 (39.9405287),0112729310,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Electrical Engineering,JEE,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",,,,
